iter	Passed	Remaining
1297	6972	3770
1298	6975	3764
1299	6981	3759
1300	6984	3752
1301	6989	3746
1302	6994	3741
1303	6997	3734
1304	7004	3730
1305	7007	3723
1306	7011	3717
1307	7016	3711
1308	7020	3705
1309	7023	3699
1310	7027	3693
1311	7033	3688
1312	7036	3681
1313	7042	3676
1314	7045	3670
1315	7056	3667
1316	7061	3662
1317	7066	3656
1318	7070	3650
1319	7076	3645
1320	7081	3639
1321	7084	3633
1322	7088	3627
1323	7092	3621
1324	7097	3615
1325	7105	3611
1326	7111	3606
1327	7116	3601
1328	7121	3595
1329	7126	3589
1330	7130	3584
1331	7135	3578
1332	7137	3571
1333	7142	3566
1334	7146	3560
1335	7153	3555
1336	7155	3548
1337	7159	3542
1338	7166	3537
1339	7170	3531
1340	7175	3526
1341	7180	3520
1342	7187	3516
1343	7191	3510
1344	7197	3505
1345	7203	3500
1346	7209	3495
1347	7217	3491
1348	7223	3486
1349	7229	3481
1350	7241	3478
1351	7249	3474
1352	7253	3468
1353	7257	3462
1354	7266	3458
1355	7270	3452
1356	7276	3447
1357	7287	3445
1358	7294	3440
1359	7298	3434
1360	7304	3429
1361	7310	3424
1362	7314	3418
1363	7322	3414
1364	7327	3408
1365	7330	3402
1366	7337	3397
1367	7343	3392
1368	7348	3387
1369	7353	3381
1370	7358	3375
1371	7362	3370
1372	7366	3364
1373	7371	3358
1374	7376	3352
1375	7383	3348
1376	7389	3343
1377	7394	3337
1378	7397	3331
1379	7402	3325
1380	7407	3320
1381	7412	3314
1382	7416	3308
1383	7420	3302
1384	7423	3296
1385	7429	3291
1386	7434	3285
1387	7437	3279
1388	7442	3273
1389	7450	3269
1390	7458	3265
1391	7467	3261
1392	7476	3257
1393	7482	3252
1394	7488	3247
1395	7491	3241
1396	7496	3235
1397	7499	3229
1398	7500	3222
1399	7505	3216
1400	7508	3210
1401	7513	3204
1402	7519	3199
1403	7521	3193
1404	7527	3187
1405	7531	3181
1406	7535	3175
1407	7538	3169
1408	7543	3164
1409	7550	3159
1410	7559	3155
1411	7567	3151
1412	7575	3146
1413	7591	3146
1414	7601	3142
1415	7610	3138
1416	7617	3134
1417	7623	3129
1418	7632	3124
1419	7641	3121
1420	7647	3115
1421	7654	3111
1422	7660	3106
1423	7667	3101
1424	7674	3096
1425	7679	3091
